objid,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,plate,mjd,fiberid,x_coord,y_coord,z_coord
1.23766e+18,19.15804,18.864729999999998,18.76961,18.92882,18.87454,2304,301,2,302,8.88376e+17,QSO,789,52342,149,-1223.66252606128,-884.9168285962083,2441.275767970683
1.23767e+18,19.35706,18.32886,17.99107,17.85789,17.83549,6161,301,2,88,3.34628e+18,STAR,2972,54586,389,0.2886469445222402,1.2277524433083233,-0.9121220503780428
1.23767e+18,19.407120000000003,18.06612,17.434379999999997,17.0758,16.85734,5390,301,3,103,2.92627e+18,GALAXY,2599,54234,196,-280.01426443943205,-43.9967845104026,88.26803297187278
1.23766e+18,19.498089999999998,18.549570000000003,17.66892,17.15825,16.97104,3893,301,5,288,9.44866e+18,QSO,8392,57483,399,-494.23415727278103,-259.40200003042025,483.68258666392967
1.23768e+18,17.21087,15.692179999999999,15.13347,14.95824,14.88645,7708,301,3,271,2.29463e+18,STAR,2038,53327,166,-0.3726860024955265,-0.07107400172499174,-0.17283598139340375
1.23767e+18,18.14797,17.05508,16.432170000000003,15.951310000000001,15.723679999999998,5314,301,1,238,3.09076e+18,GALAXY,2745,54231,605,-344.73168638520406,-229.47728856937047,123.58522394420575
1.23766e+18,18.91689,18.8966,18.53975,18.483629999999998,18.59671,3926,301,5,173,1.59212e+18,QSO,1414,53135,338,-1136.7691028081827,-3257.947360936838,1599.6512477629872
1.23766e+18,19.286720000000003,17.9835,17.08769,16.5929,16.29141,3893,301,5,197,1.63721e+18,QSO,1454,53090,536,-390.85514964737087,-65.99405612681272,370.2700226872356
1.23766e+18,19.558729999999997,18.91508,18.53814,18.189020000000003,18.0786,3903,301,4,238,2.04022e+18,GALAXY,1812,53795,343,-717.2321427799214,-544.6251439776476,139.4924303474213
1.23765e+18,17.991229999999998,16.4718,15.907670000000001,15.5117,15.256770000000001,2074,301,6,157,6.24989e+17,GALAXY,555,52266,418,-110.14056691859211,85.17083597297933,206.32056040589293
1.23765e+18,19.17895,17.79365,17.20177,16.992060000000002,16.89327,2078,301,3,67,3.74364e+18,STAR,3325,54942,66,0.06143460247334372,-0.007785848129169352,-0.1276224622928593
1.23766e+18,18.71829,16.84323,16.0177,15.633479999999999,15.32891,3926,301,3,117,1.58306e+18,GALAXY,1406,52876,174,-86.57043561216877,-169.4362092671569,108.77874296796074
1.23765e+18,17.04309,15.52922,14.8242,14.435379999999999,14.135470000000002,1412,301,4,91,5.50653e+17,GALAXY,489,51930,320,-49.25717707006866,21.5726371013465,115.3119654060623
1.23766e+18,18.94688,18.85381,18.58458,18.554679999999998,18.69956,2825,301,6,45,8.48951e+17,QSO,754,52232,83,-1327.127174596309,2923.5320942247195,1795.8319970164791
1.23766e+18,19.1889,18.23343,17.88822,17.7918,17.78557,4294,301,1,130,8.30376e+18,STAR,7375,56981,900,0.06577296639691639,-0.08837726093809688,-0.16876046643528292
1.23767e+18,18.02243,16.9738,16.93531,16.969920000000002,17.01813,5326,301,5,90,3.09075e+18,STAR,2745,54231,545,1.6481275240204145,1.093774165880208,-0.5657609533272591
1.23766e+18,19.485889999999998,17.51935,16.59345,16.18892,15.8736,3606,301,3,121,1.43455e+18,GALAXY,1274,52995,543,-239.96363271656284,186.92378648031908,221.47146872447624
1.23766e+18,19.02307,18.05273,17.74786,17.63799,17.64401,4381,301,2,105,1.98949e+18,STAR,1767,53436,102,-1.242692015831198,-0.14425349034708795,0.3211773259625232
1.23766e+18,18.63345,18.24579,17.84306,17.56873,17.57522,4294,301,1,18,1.19978e+19,QSO,10656,58163,909,-1735.0891594064885,4001.527213320275,3970.5381193189946
1.23768e+18,18.98326,17.15823,16.31309,15.896989999999999,15.586520000000002,7713,301,2,70,5.67696e+18,GALAXY,5042,55856,624,247.92730091007613,-115.42691731532649,71.4900788371777
1.23767e+18,19.03922,17.36893,16.610139999999998,16.24488,15.947610000000001,5061,301,4,356,2.49177e+18,GALAXY,2213,53792,544,-161.29779887453734,31.292651271256503,91.61414400369077
1.23767e+18,18.63447,18.23765,17.61361,17.14572,16.98508,4858,301,1,488,4.48123e+17,QSO,398,51789,55,785.1341933137965,286.74411915980915,-14.260208904678567
1.23766e+18,19.1253,17.65298,16.867539999999998,16.44462,16.1053,2243,301,2,181,8.64715e+17,GALAXY,768,52281,87,-103.66545690664233,72.95079680008423,162.28254413047767
1.23766e+18,19.50826,19.30977,19.26294,19.11028,18.99335,3893,301,4,382,1.55835e+18,QSO,1384,53121,372,-3090.407088122851,-3017.607586793131,3114.838179471745
1.23768e+18,19.2918,18.923939999999998,18.34374,17.94184,17.716260000000002,7699,301,3,55,8.6324e+18,QSO,7667,57580,447,843.5508918375194,-72.73239690151061,385.2527979568083
1.23766e+18,19.583879999999997,18.19741,17.64037,17.300320000000003,17.161820000000002,2826,301,3,275,1.47844e+18,GALAXY,1313,52790,487,-198.71105166441106,1.0558204464296586,309.3784841518283
1.23766e+18,19.5124,18.360020000000002,17.5846,17.22364,16.965970000000002,3015,301,3,367,1.82065e+18,GALAXY,1617,53112,272,-618.9903443346153,118.42446127252327,78.25829031661817
1.23766e+18,18.963279999999997,17.03086,16.09546,15.67288,15.342260000000001,3894,301,1,150,6.1711e+18,GALAXY,5481,55983,148,-264.4533357157372,-275.0023935776759,56.328829746412076
1.23766e+18,19.430139999999998,19.254479999999997,19.17001,19.06804,19.03771,3187,301,5,82,6.80269e+18,QSO,6042,56101,8,-1897.1975829013008,-3162.6042793959728,3490.8066091565156
1.23766e+18,18.03126,17.95169,17.85205,17.85878,17.73209,3894,301,2,44,1.91749e+18,QSO,1703,53799,293,-2608.854003188368,-1517.2165832882201,560.4307830648905
1.23766e+18,16.94163,15.56265,14.87945,14.53234,14.230429999999998,3996,301,1,49,1.91755e+18,GALAXY,1703,53799,527,-50.4632900053114,-30.778783581702804,13.046283174307026
1.23767e+18,18.254179999999998,16.43938,15.772089999999999,15.54584,15.44055,5960,301,1,169,2.85981e+18,STAR,2540,54110,78,0.005302186293190829,-0.040771485241666336,-0.32218201244517397
1.23766e+18,18.17841,17.28244,16.99265,16.88126,16.84187,4504,301,6,158,5.29301e+18,STAR,4701,55709,556,0.7658473820117586,0.033184696391897944,-0.6120453702166502
1.23767e+18,17.979779999999998,16.55797,15.98192,15.76097,15.64608,6361,301,6,23,2.95452e+18,STAR,2624,54380,572,0.8289711615777323,0.021296469437362173,-0.05088186723600449
1.23766e+18,18.8171,17.389670000000002,16.62762,16.20553,15.915939999999999,2826,301,2,273,1.47721e+18,GALAXY,1312,52781,105,-238.7302984222714,4.123770195959084,365.4145506081419
1.23767e+18,18.453960000000002,18.20361,18.18169,18.04731,17.8578,5390,301,2,182,2.93298e+18,QSO,2605,54484,51,-1519.8337677754466,-591.0897557833628,476.13367267081526
1.23765e+18,19.05915,18.83401,18.698520000000002,18.69964,18.57098,1740,301,4,141,7.4319e+17,QSO,660,52177,350,3001.077943580532,982.4175942582701,-526.3877925786431
1.23766e+18,19.37772,18.62357,18.20528,17.86045,17.81531,2986,301,3,131,1.34324e+18,GALAXY,1193,52652,167,-577.075090045436,515.7894135783413,66.40916815174303
1.23766e+18,19.224829999999997,18.106939999999998,17.63741,17.46145,17.40602,2662,301,1,218,1.23294e+18,STAR,1095,52521,290,-0.8452279475525932,0.14397935523060731,0.013056256266735084
1.23766e+18,18.499760000000002,17.6634,17.310229999999997,17.167370000000002,17.14023,2335,301,4,131,2.45684e+18,GALAXY,2182,53905,449,-0.07056048648114685,-0.44831241192118315,0.24078522935354538
1.23767e+18,18.871010000000002,17.461579999999998,16.84068,16.4587,16.19731,5314,301,2,197,3.10188e+18,GALAXY,2755,54507,83,-179.57713660130543,-92.48893970328766,64.95598577310001
1.23766e+18,19.28377,17.91568,17.33587,16.97193,16.704620000000002,2243,301,2,216,1.06401e+18,GALAXY,945,52652,115,-99.97654773777829,52.24262630512072,159.7088893930558
1.23765e+18,19.04054,17.49974,16.69521,16.237479999999998,15.90881,1754,301,6,53,8.18703e+17,QSO,727,52207,633,130.28595902993658,-122.17005242732313,34.932247478970346
1.23766e+18,18.90981,17.7675,17.12231,16.754839999999998,16.52307,3562,301,3,28,1.52677e+18,GALAXY,1356,53033,186,-377.2762778530667,209.62932682910815,353.6332217108083
1.23768e+18,17.93945,17.12549,16.26034,15.80998,15.490670000000001,7777,301,5,122,4.61079e+18,QSO,4095,55497,830,542.3381440933574,-321.4655803608046,120.06909645037881
1.23765e+18,17.45586,15.693879999999998,14.84516,14.407789999999999,14.0578,1231,301,1,55,3.70435e+17,GALAXY,329,52056,50,-118.24593892933689,5.337438917786822,-7.3011549168983825
1.23766e+18,17.60543,16.510579999999997,16.1493,16.06205,16.03002,3606,301,3,14,1.42658e+18,STAR,1267,52932,224,-0.05028964582826353,0.06891319311461849,0.04404200615426574
1.23767e+18,19.24924,19.04625,19.04942,18.889570000000003,18.660989999999998,5326,301,5,113,6.14881e+18,QSO,5461,56018,1000,-4220.5230388593,-3192.7670884577983,1470.7611427884474
1.23767e+18,19.44586,19.01616,18.97907,18.99385,18.80712,5972,301,1,185,5.9799e+18,QSO,5311,55956,908,-4578.137080978535,3407.0882363223786,1215.1211787283269
1.23767e+18,19.20324,17.7045,17.08962,16.84297,16.70571,4851,301,3,45,3.15367e+18,STAR,2801,54331,80,-0.07373869595708935,-0.002887560251160141,-0.034130729620589245
1.23766e+18,18.17002,17.000629999999997,16.51666,16.303929999999998,16.23425,2299,301,2,238,3.86074e+18,STAR,3429,54976,90,1.1115206812425726,1.4615016645234737,-2.318702857894508
1.23766e+18,18.13162,16.9167,16.45178,16.25178,16.170560000000002,3926,301,6,212,3.70423e+18,STAR,3290,54941,52,0.32072000695341607,1.2479724557776881,-0.499325022805796
1.23765e+18,19.15314,17.99704,17.40168,17.0153,16.74669,1412,301,4,38,5.46194e+17,GALAXY,485,51909,481,-165.58888985208358,131.25692531313504,376.6197951273721
1.23766e+18,18.61065,17.397479999999998,16.817989999999998,16.4983,16.31814,4192,301,4,175,4.21195e+17,GALAXY,374,51791,393,128.01874185347302,-65.36580563958762,0.20076668615428675
1.23766e+18,19.58286,18.06544,17.31184,16.86886,16.555329999999998,3838,301,6,28,9.98844e+17,GALAXY,887,52376,620,-140.41836070079466,-46.18815251927894,194.74744673731203
1.23767e+18,18.96519,18.65005,18.55536,18.32253,18.3657,5194,301,3,696,3.1267e+18,QSO,2777,54554,279,-3337.7858044011864,-2994.715593018826,1454.4470509672474
1.23765e+18,19.165879999999998,18.19158,17.80288,17.52233,17.37107,1739,301,3,229,8.37718e+17,GALAXY,744,52251,177,363.54335607398605,-72.63852314996247,95.29977222807088
1.23767e+18,18.253610000000002,17.102970000000003,16.34679,15.904729999999999,15.5451,5183,301,1,611,3.11322e+18,GALAXY,2765,54535,404,-139.6837594889032,-146.06825210201106,59.556271136089045
1.23766e+18,19.16035,18.22636,17.88676,17.7606,17.74452,3225,301,2,289,5.85021e+18,STAR,5196,55831,124,0.7854825291608972,2.440363798359369,-1.6578625001843694
1.23765e+18,19.2836,19.04084,18.709770000000002,18.87114,18.94315,1412,301,3,209,5.5858e+17,QSO,496,51988,485,-1257.1907004159593,-464.67845542775973,3114.0561973549743
1.23767e+18,18.51492,17.53559,17.17547,17.04223,16.98341,6004,301,1,117,3.00278e+18,STAR,2667,54142,2,-2.060125785769149,2.1679784704946683,0.5377715256068525
1.23766e+18,17.32178,16.89741,16.716179999999998,16.704060000000002,16.5548,3647,301,3,155,5.212e+18,QSO,4629,55630,772,-4013.686152871078,1227.508519893574,3558.666533473915
1.23765e+18,18.57187,17.56417,17.22917,17.10789,17.06586,752,301,4,308,3.25963e+18,STAR,2895,54567,557,-0.5093591413589942,-0.08753151101309826,0.0007696261875994182
1.23766e+18,19.34095,18.6307,17.803829999999998,17.345589999999998,17.09165,4263,301,1,282,7.85901e+17,QSO,698,52203,83,727.6688524110353,338.0936539682839,-16.28003899140362
1.23767e+18,19.405079999999998,19.176370000000002,18.9619,18.66978,18.535079999999997,5976,301,4,218,9.45782e+17,QSO,840,52374,94,-4861.521175481476,141.4249783134283,361.434724638017
1.23765e+18,17.9543,16.02094,15.16,14.74595,14.4131,1412,301,4,139,5.54042e+17,GALAXY,492,51955,360,-87.669945953936,10.421788032460773,211.77419308314379
1.23767e+18,19.23563,18.063860000000002,17.42486,17.02137,16.871560000000002,5061,301,3,138,2.57054e+18,GALAXY,2283,53729,409,-342.3634181742853,349.5812695326857,176.72465151701945
1.23767e+18,19.05552,18.96738,18.93035,18.73667,18.58004,5183,301,3,301,2.82947e+18,QSO,2513,54141,315,-4849.79623288544,238.7680676149139,1973.5706185490342
1.23767e+18,18.0625,18.065379999999998,18.034110000000002,17.746779999999998,17.72671,4851,301,2,54,8.62797e+18,QSO,7663,57328,718,4536.816661718143,295.50464592078583,2075.3214404197965
1.23768e+18,19.5995,19.50258,19.37827,19.20381,19.07388,8116,301,6,332,8.69669e+18,QSO,7724,58434,856,4271.459368792034,1366.0707299549795,2630.9322440901974
1.23768e+18,19.3227,17.36564,16.441370000000003,15.99208,15.70781,7885,301,1,16,8.06034e+18,GALAXY,7159,56603,98,268.7282561740009,99.79548857087686,-41.33529430398793
1.23766e+18,18.710639999999998,17.41778,16.81796,16.43143,16.22411,3927,301,1,24,1.85785e+18,GALAXY,1650,53174,405,-257.77220236313315,-312.6113207684594,248.68422143520488
1.23766e+18,17.40842,15.58799,14.756520000000002,14.364889999999999,14.066989999999999,2243,301,3,359,1.07757e+18,GALAXY,957,52398,310,-105.91290760144152,-21.60439224876031,184.34841901276064
1.23766e+18,18.93144,16.96855,16.026429999999998,15.593520000000002,15.216920000000002,4512,301,3,241,2.08183e+18,GALAXY,1849,53846,164,-195.44212070714622,-284.0265993137622,167.88941063855617
1.23766e+18,19.46655,16.97743,15.756910000000001,15.288920000000001,15.035470000000002,4263,301,4,278,1.69126e+18,STAR,1502,53741,573,0.1182377083509868,0.05341185931626927,7.276908286461352e-05
1.23766e+18,18.34295,17.376910000000002,17.079420000000002,16.82235,16.70798,3903,301,4,309,2.04589e+18,GALAXY,1817,53851,472,-127.1637891594211,-140.68312447487233,25.7327831989871
1.23767e+18,19.12261,18.60501,18.5744,18.59071,18.37279,4576,301,3,509,4.47779e+18,QSO,3977,55335,322,-4793.330192562025,-1383.237566664884,3374.866899035958
1.23767e+18,19.27197,19.17426,18.82447,18.78321,18.87304,4649,301,3,156,2.38027e+18,QSO,2114,53848,431,-3329.678209697412,-1709.7858698499542,1970.7484966425773
1.23767e+18,17.41814,16.34745,15.9552,15.72816,15.59653,4670,301,1,70,2.38133e+18,GALAXY,2115,53535,204,-101.3423218498459,-52.33250004154319,52.623210460976786
1.23765e+18,18.331889999999998,17.06042,16.270039999999998,15.79713,15.509739999999999,752,301,3,595,4.08763e+17,GALAXY,363,51989,222,-182.53665893001707,-239.435898740129,-2.013291343126738
1.23766e+18,18.7539,19.13382,18.49662,18.32214,18.32471,2821,301,4,97,1.13608e+18,QSO,1009,52644,164,-1104.924547761239,435.96403446544406,1531.0144520737833
1.23768e+18,19.58673,19.03165,18.939220000000002,18.88825,18.70691,7708,301,3,218,7.74638e+18,QSO,6880,56543,697,5098.370480129197,184.5886674454413,2348.3930573751713
1.23765e+18,19.51547,18.06038,17.485429999999997,17.257929999999998,17.10947,1737,301,6,24,2.15734e+18,STAR,1916,53269,434,-0.06507960051213078,0.07471528685329291,0.00874946012010919
1.23766e+18,19.51857,19.2304,18.92053,18.903879999999997,18.86802,3438,301,6,126,3.58384e+18,QSO,3183,54833,362,2112.7441069079878,2419.3956095207036,49.77585703842055
1.23767e+18,19.38319,19.09044,19.129070000000002,18.87866,18.963079999999998,5194,301,4,225,1.07479e+19,QSO,9546,57864,344,-3811.527586824922,2466.6040400006777,1485.1893038722117
1.23767e+18,18.85318,16.97495,16.14087,15.7522,15.43268,5326,301,5,216,3.10084e+18,GALAXY,2754,54240,418,-117.51985851540502,-154.93381075625425,42.8982516451114
1.23768e+18,19.30285,17.63105,16.64324,16.20284,15.840679999999999,7912,301,1,138,6.91204e+18,GALAXY,6139,56192,514,592.7290335606467,-29.205631308832803,171.8428226954764
1.23766e+18,19.4903,19.43995,19.40556,19.24727,19.03473,2831,301,1,69,8.19899e+18,QSO,7282,56660,663,-2884.4550438214255,1679.5936646125967,4095.3924847241283
1.23767e+18,17.5574,16.39165,15.99523,15.869729999999999,15.825370000000001,4851,301,5,47,3.17746e+18,STAR,2822,54389,607,-1.125735008271784,-0.05022625513098307,-0.5428785611416804
1.23767e+18,19.022370000000002,17.14911,16.29712,15.88799,15.588920000000002,5183,301,3,117,2.66842e+18,GALAXY,2370,53764,117,-240.7694404752448,149.52640884624262,92.94355469526468
1.23766e+18,18.74781,18.46561,18.17772,17.9481,17.82913,4294,301,1,59,9.34846e+18,QSO,8303,57805,398,-1591.3692841747884,3083.8017489658396,3830.99163173131
1.23765e+18,18.937279999999998,17.960420000000003,17.66638,17.54769,17.49267,1740,301,1,55,2.1528e+18,STAR,1912,53293,300,-2.687567457164359,-0.23358716359002155,0.5202315728583633
1.23766e+18,19.152379999999997,17.62141,16.95606,16.70448,16.53559,4152,301,4,51,2.11673e+18,STAR,1880,53262,154,-0.735060297703787,0.016850685982045147,-0.5387450989068164
1.23768e+18,18.95064,18.50553,18.31475,18.00468,18.02383,8103,301,1,131,8.62688e+18,QSO,7662,57358,849,4420.003701069656,453.88491208823956,2192.41956822467
1.23765e+18,18.73546,18.138370000000002,17.56025,17.06525,16.95427,1231,301,1,21,3.67056e+17,QSO,326,52375,45,-565.5316185617298,75.70259386131467,-35.0596578598914
1.23767e+18,19.0365,17.47097,16.805410000000002,16.44608,16.17859,4670,301,4,326,2.47939e+18,GALAXY,2202,53566,558,-82.09090545628986,-189.7753770505795,52.80546786116188
1.23767e+18,18.74011,17.32047,16.75317,16.55725,16.463520000000003,5598,301,2,21,2.60085e+18,STAR,2310,53710,70,-1.0291305501926042,0.2599224104699277,-0.11898956201015816
